char	codepoint	unicode_name	category	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	source	status	algorithm
ଁ	U+0B01	ORIYA SIGN CANDRABINDU	Mn	bo	3	i	细柱	m	1	m	重复多部件	boim	奥里亚视觉聚类C3;状态组S1	false	0.232792	0.5856	0.1123	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଂ	U+0B02	ORIYA SIGN ANUSVARA	Mc	bo	14	f	人物轮廓	m	0	m	重复多部件	bofm	奥里亚视觉聚类C14;状态组S0	false	0.264041	1.3077	0.1012	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଃ	U+0B03	ORIYA SIGN VISARGA	Mc	bo	14	f	人物轮廓	m	1	s	对称	bofs	奥里亚视觉聚类C14;状态组S1	true	0.370656	1.3165	0.1906	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଅ	U+0B05	ORIYA LETTER A	Lo	bo	12	k	绳结	s	1	s	对称	boks	奥里亚视觉聚类C12;状态组S1	false	0.379294	0.9367	0.3122	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଆ	U+0B06	ORIYA LETTER AA	Lo	bo	2	y	分叉翼形	s	1	s	对称	boys	奥里亚视觉聚类C2;状态组S1	false	1.309204	1.1899	0.3212	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଇ	U+0B07	ORIYA LETTER I	Lo	bo	8	m	复合	s	0	s	对称	boms	奥里亚视觉聚类C8;状态组S0	false	0.107310	1.0506	0.3078	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଈ	U+0B08	ORIYA LETTER II	Lo	bo	8	m	复合	s	0	s	对称	boms	奥里亚视觉聚类C8;状态组S0	false	0.294568	1.0380	0.3225	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଉ	U+0B09	ORIYA LETTER U	Lo	bo	4	k	绳结	i	0	i	内含	boki	用户锚点：ଉ=boki	false	0.717900	1.0253	0.2918	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଊ	U+0B0A	ORIYA LETTER UU	Lo	bo	8	m	复合	s	1	g	缺口开放	bomg	奥里亚视觉聚类C8;状态组S1	true	0.363856	1.0506	0.2910	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଋ	U+0B0B	ORIYA LETTER VOCALIC R	Lo	bo	6	z	阶梯锯齿	s	1	s	对称	bozs	奥里亚视觉聚类C6;状态组S1	false	0.266796	1.0380	0.2842	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଌ	U+0B0C	ORIYA LETTER VOCALIC L	Lo	bo	16	d	点状	s	0	x	穿过交叠	bodx	奥里亚视觉聚类C16;状态组S0	true	0.466966	0.7975	0.2954	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଏ	U+0B0F	ORIYA LETTER E	Lo	bo	12	k	绳结	s	1	s	对称	boks	奥里亚视觉聚类C12;状态组S1	false	0.500718	0.9103	0.2362	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଐ	U+0B10	ORIYA LETTER AI	Lo	bo	18	p	螺旋回环	s	1	s	对称	bops	奥里亚视觉聚类C18;状态组S1	false	0.507857	0.9072	0.2726	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଓ	U+0B13	ORIYA LETTER O	Lo	bo	4	n	成列成排	s	1	s	对称	bons	奥里亚视觉聚类C4;状态组S1	false	0.434631	0.7222	0.2663	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଔ	U+0B14	ORIYA LETTER AU	Lo	bo	0	x	交叉	s	1	o	外包	boxo	奥里亚视觉聚类C0;状态组S1	true	0.521729	0.8571	0.2900	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
କ	U+0B15	ORIYA LETTER KA	Lo	bo	7	r	放射星芒	s	0	x	穿过交叠	borx	奥里亚视觉聚类C7;状态组S0	true	0.082605	0.9487	0.2860	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଖ	U+0B16	ORIYA LETTER KHA	Lo	bo	11	w	波浪流线	s	0	s	对称	bows	奥里亚视觉聚类C11;状态组S0	false	0.287506	0.9620	0.3286	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଗ	U+0B17	ORIYA LETTER GA	Lo	bo	11	w	波浪流线	s	0	s	对称	bows	奥里亚视觉聚类C11;状态组S0	false	0.109548	0.9620	0.3086	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଘ	U+0B18	ORIYA LETTER GHA	Lo	bo	11	w	波浪流线	s	0	s	对称	bows	奥里亚视觉聚类C11;状态组S0	false	0.232010	0.9747	0.2992	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଙ	U+0B19	ORIYA LETTER NGA	Lo	bo	6	z	阶梯锯齿	s	1	s	对称	bozs	奥里亚视觉聚类C6;状态组S1	false	0.322403	1.0253	0.2708	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଚ	U+0B1A	ORIYA LETTER CA	Lo	bo	5	g	动物有机体	s	0	s	对称	bogs	奥里亚视觉聚类C5;状态组S0	false	0.056428	0.9241	0.2572	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଛ	U+0B1B	ORIYA LETTER CHA	Lo	bo	9	o	圆环	s	0	f	实心高填充	boof	奥里亚视觉聚类C9;状态组S0	true	0.801460	0.9747	0.3513	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଜ	U+0B1C	ORIYA LETTER JA	Lo	bo	7	r	放射星芒	s	1	s	对称	bors	奥里亚视觉聚类C7;状态组S1	false	0.128941	0.9241	0.2866	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଝ	U+0B1D	ORIYA LETTER JHA	Lo	bo	6	z	阶梯锯齿	s	1	s	对称	bozs	奥里亚视觉聚类C6;状态组S1	false	0.485153	0.9367	0.2882	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଞ	U+0B1E	ORIYA LETTER NYA	Lo	bo	4	n	成列成排	s	1	s	对称	bons	奥里亚视觉聚类C4;状态组S1	false	0.649694	0.9367	0.3645	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଟ	U+0B1F	ORIYA LETTER TTA	Lo	bo	5	g	动物有机体	s	0	s	对称	bogs	奥里亚视觉聚类C5;状态组S0	false	0.106571	0.9367	0.2672	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଠ	U+0B20	ORIYA LETTER TTHA	Lo	bo	0	x	交叉	s	1	o	外包	boxo	奥里亚视觉聚类C0;状态组S1	true	0.356995	0.9241	0.2374	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଡ	U+0B21	ORIYA LETTER DDA	Lo	bo	13	v	开口V形	s	1	s	对称	bovs	奥里亚视觉聚类C13;状态组S1	false	0.259382	0.9367	0.2657	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଢ	U+0B22	ORIYA LETTER DDHA	Lo	bo	7	r	放射星芒	s	0	x	穿过交叠	borx	奥里亚视觉聚类C7;状态组S0	true	0.221764	0.8795	0.2786	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଣ	U+0B23	ORIYA LETTER NNA	Lo	bo	9	o	圆环	s	0	f	实心高填充	boof	奥里亚视觉聚类C9;状态组S0	true	0.297744	0.9367	0.3288	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ତ	U+0B24	ORIYA LETTER TA	Lo	bo	5	g	动物有机体	s	0	s	对称	bogs	奥里亚视觉聚类C5;状态组S0	false	0.103663	0.9241	0.2637	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଥ	U+0B25	ORIYA LETTER THA	Lo	bo	12	k	绳结	s	1	s	对称	boks	奥里亚视觉聚类C12;状态组S1	false	0.272402	0.9114	0.2857	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଦ	U+0B26	ORIYA LETTER DA	Lo	bo	5	g	动物有机体	s	1	g	缺口开放	bogg	奥里亚视觉聚类C5;状态组S1	true	0.133896	0.9359	0.2385	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଧ	U+0B27	ORIYA LETTER DHA	Lo	bo	12	k	绳结	s	0	g	缺口开放	bokg	奥里亚视觉聚类C12;状态组S0	true	0.375021	0.9241	0.2743	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ନ	U+0B28	ORIYA LETTER NA	Lo	bo	13	v	开口V形	s	1	s	对称	bovs	奥里亚视觉聚类C13;状态组S1	false	0.248486	0.9367	0.2576	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ପ	U+0B2A	ORIYA LETTER PA	Lo	bo	10	t	三角尖形	i	0	i	内含	boti	奥里亚视觉聚类C10;状态组S0	false	0.200347	0.9494	0.2873	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଫ	U+0B2B	ORIYA LETTER PHA	Lo	bo	18	p	螺旋回环	i	0	i	内含	bopi	奥里亚视觉聚类C18;状态组S0	false	0.666176	1.1772	0.2754	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ବ	U+0B2C	ORIYA LETTER BA	Lo	bo	5	g	动物有机体	s	1	g	缺口开放	bogg	奥里亚视觉聚类C5;状态组S1	true	0.097490	0.9359	0.2520	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
